cost,mass,drag,design
102.8,52.5,0.364,D0075
55.9,72.0,0.313,D0076
89.8,44.3,0.515,D0077
135.3,24.8,0.546,D0078
79.9,50.5,0.336,D0079
54.3,33.2,0.528,D0080
101.6,56.6,0.281,D0081
43.1,47.1,0.522,D0082
121.1,41.9,0.563,D0083
120.1,44.4,0.516,D0084
94.3,29.2,0.596,D0085
42.9,59.8,0.413,D0086
117.8,46.9,0.372,D0087
100.2,72.2,0.352,D0088
90.1,60.4,0.322,D0089
71.1,37.5,0.563,D0090
69.3,61.5,0.339,D0091
68.3,78.1,0.147,D0092
103.4,29.6,0.665,D0093
96.6,39.9,0.434,D0094
101.1,43.9,0.396,D0095
42.3,43.5,0.49,D0096
76.0,74.0,0.327,D0097
104.8,68.0,0.286,D0098
96.5,43.8,0.451,D0099
28.4,67.9,0.24,D0100
38.5,48.0,0.484,D0101
91.5,41.8,0.518,D0102
79.9,20.7,0.663,D0103
78.2,71.9,0.244,D0104
127.9,21.1,0.547,D0105
108.3,33.6,0.461,D0106
60.8,42.5,0.449,D0107
79.6,73.3,0.223,D0108
59.8,54.7,0.29,D0109
89.3,39.0,0.485,D0110
40.4,53.3,0.425,D0111
88.3,77.4,0.19,D0112
103.3,46.5,0.394,D0113
104.5,64.8,0.403,D0114
93.9,75.0,0.163,D0115
44.6,31.9,0.543,D0116
105.4,46.3,0.455,D0117
124.4,24.2,0.654,D0118
52.1,34.9,0.583,D0119
106.4,44.3,0.427,D0120
120.0,36.5,0.432,D0121
88.9,21.3,0.702,D0122
36.0,78.4,0.155,D0123
71.9,55.1,0.348,D0124
97.4,26.3,0.581,D0125
46.9,33.4,0.631,D0126
82.2,36.3,0.564,D0127
122.1,37.8,0.492,D0128
92.9,67.5,0.317,D0129
75.1,30.8,0.621,D0130
88.2,73.8,0.302,D0131
99.6,28.0,0.668,D0132
100.3,54.6,0.427,D0133
88.3,40.6,0.511,D0134
81.1,62.5,0.418,D0135
116.5,43.2,0.45,D0136
120.5,43.7,0.532,D0137
52.4,47.1,0.45,D0138
94.8,72.7,0.185,D0139
93.4,57.7,0.298,D0140
109.2,53.2,0.493,D0141
62.2,51.5,0.378,D0142
95.8,56.5,0.379,D0143
76.8,50.2,0.398,D0144
115.9,47.7,0.437,D0145
80.7,35.2,0.627,D0146
61.3,72.1,0.278,D0147
132.5,29.8,0.665,D0148
105.2,54.1,0.436,D0149
107.1,46.9,0.475,D0150
87.0,21.3,0.676,D0151
72.7,74.3,0.196,D0152
91.0,79.2,0.286,D0153
131.8,29.5,0.512,D0154
73.3,41.7,0.41,D0155
78.1,21.1,0.728,D0156
75.0,57.6,0.359,D0157
94.0,68.4,0.264,D0158
109.3,25.8,0.564,D0159
74.9,38.5,0.476,D0160
102.5,40.0,0.465,D0161
130.7,20.7,0.546,D0162
29.3,71.9,0.287,D0163
87.0,77.5,0.162,D0164
126.2,34.6,0.544,D0165
90.6,67.8,0.241,D0166
107.2,22.7,0.587,D0167
102.8,74.3,0.259,D0168
92.6,74.1,0.211,D0169
121.1,46.9,0.38,D0170
89.1,55.6,0.422,D0171
120.3,22.5,0.659,D0172
109.2,60.2,0.444,D0173
79.1,68.6,0.214,D0174
117.2,46.2,0.529,D0175
71.7,57.5,0.438,D0176
99.5,57.2,0.465,D0177
65.6,26.1,0.615,D0178
110.2,61.2,0.303,D0179
54.9,46.9,0.444,D0180
83.7,57.2,0.326,D0181
122.3,37.3,0.442,D0182
61.6,76.1,0.161,D0183
55.6,75.6,0.203,D0184
130.0,22.7,0.707,D0185
81.5,30.8,0.617,D0186
101.1,77.6,0.268,D0187
96.1,79.2,0.217,D0188
44.1,71.0,0.247,D0189
75.9,50.1,0.331,D0190
43.1,35.9,0.55,D0191
88.3,77.4,0.283,D0192
111.6,58.2,0.41,D0193
113.4,24.9,0.526,D0194
119.1,32.1,0.617,D0195
107.8,20.4,0.659,D0196
103.6,24.4,0.569,D0197
81.5,40.7,0.536,D0198
63.2,46.6,0.472,D0199
132.7,26.9,0.514,D0200
75.0,33.2,0.484,D0201
59.2,32.6,0.5,D0202
83.3,58.9,0.331,D0203
77.2,25.7,0.56,D0204
62.1,48.9,0.507,D0205
116.5,32.2,0.466,D0206
48.6,46.1,0.427,D0207
119.3,25.0,0.563,D0208
100.1,54.1,0.398,D0209
130.4,26.8,0.538,D0210
92.6,53.9,0.492,D0211
115.4,55.2,0.438,D0212
118.2,28.0,0.61,D0213
80.9,41.5,0.42,D0214
15.0,71.2,0.309,D0215
115.2,37.3,0.504,D0216
57.9,56.1,0.447,D0217
90.9,76.0,0.182,D0218
118.7,27.6,0.6,D0219
51.6,52.4,0.415,D0220
84.9,41.0,0.535,D0221
93.1,44.5,0.389,D0222
59.2,70.8,0.363,D0223
66.3,72.2,0.333,D0224
75.7,36.4,0.566,D0225
57.1,77.3,0.193,D0226
97.2,62.4,0.275,D0227
119.9,39.7,0.424,D0228
44.3,47.1,0.473,D0229
58.4,70.5,0.225,D0230
130.7,22.0,0.588,D0231
62.0,46.9,0.418,D0232
68.8,71.1,0.283,D0233
102.2,43.4,0.536,D0234
81.0,64.8,0.397,D0235
100.8,46.1,0.407,D0236
104.9,65.9,0.366,D0237
69.6,46.2,0.53,D0238
57.0,68.8,0.292,D0239
71.8,42.5,0.396,D0240
93.0,63.6,0.229,D0241
64.2,66.1,0.244,D0242
81.0,68.4,0.301,D0243
38.6,74.6,0.29,D0244
101.8,40.0,0.516,D0245
97.8,27.1,0.521,D0246
54.5,30.2,0.523,D0247
96.5,54.8,0.407,D0248
126.9,25.7,0.585,D0249
51.4,45.1,0.378,D0250
61.6,26.3,0.581,D0251
116.1,36.9,0.572,D0252
76.8,37.2,0.515,D0253
49.4,46.9,0.465,D0254
128.6,23.4,0.684,D0255
92.3,54.7,0.3,D0256
122.7,36.6,0.535,D0257
77.0,74.6,0.261,D0258
130.3,33.9,0.578,D0259
95.4,50.8,0.445,D0260
100.7,40.2,0.527,D0261
49.7,48.7,0.425,D0262
63.5,54.1,0.428,D0263
63.5,37.8,0.429,D0264
114.0,24.9,0.559,D0265
88.9,47.1,0.353,D0266
128.1,33.8,0.568,D0267
63.3,55.7,0.353,D0268
77.5,48.5,0.454,D0269
89.8,61.3,0.294,D0270
60.1,35.2,0.501,D0271
101.4,44.9,0.426,D0272
47.5,55.8,0.303,D0273
84.4,61.3,0.365,D0274
65.7,41.4,0.578,D0275
43.0,60.7,0.332,D0276
102.6,43.6,0.398,D0277
114.7,20.4,0.72,D0278
114.4,42.4,0.489,D0279
73.4,78.8,0.118,D0280
78.3,44.4,0.524,D0281
108.5,45.4,0.362,D0282
104.2,44.4,0.39,D0283
101.6,46.7,0.411,D0284
71.0,51.2,0.366,D0285
65.0,76.5,0.222,D0286
69.5,51.3,0.499,D0287
106.0,60.6,0.425,D0288
99.8,60.8,0.33,D0289
49.4,63.9,0.348,D0290
125.5,39.3,0.581,D0291
48.9,76.8,0.323,D0292
48.7,39.5,0.603,D0293
111.6,60.2,0.275,D0294
38.2,35.0,0.626,D0295
112.6,45.7,0.509,D0296
123.0,38.0,0.59,D0297
78.8,39.7,0.411,D0298
58.0,53.1,0.307,D0299
107.1,30.2,0.623,D0300
67.5,32.4,0.511,D0301
84.0,68.5,0.337,D0302
98.8,60.9,0.352,D0303
91.3,30.8,0.642,D0304
78.0,59.0,0.271,D0305
96.1,26.0,0.576,D0306
112.0,40.5,0.533,D0307
59.7,43.1,0.459,D0308
102.2,33.7,0.587,D0309
101.4,68.8,0.19,D0310
96.1,40.6,0.51,D0311
39.7,63.8,0.305,D0312
136.4,21.1,0.625,D0313
76.5,69.9,0.327,D0314
70.4,38.5,0.558,D0315
94.3,35.8,0.618,D0316
117.6,41.3,0.5,D0317
127.7,33.0,0.634,D0318
105.0,63.6,0.36,D0319
101.0,52.7,0.421,D0320
61.9,53.8,0.431,D0321
82.5,60.8,0.336,D0322
100.8,63.3,0.243,D0323
116.3,37.1,0.438,D0324
61.9,39.4,0.509,D0325
89.3,32.2,0.612,D0326
66.2,72.4,0.206,D0327
108.8,41.4,0.559,D0328
93.3,60.7,0.263,D0329
112.5,41.3,0.538,D0330
127.0,27.3,0.498,D0331
88.3,78.1,0.294,D0332
72.7,70.0,0.18,D0333
40.9,54.9,0.394,D0334
121.5,34.0,0.538,D0335
127.4,38.2,0.494,D0336
78.1,79.7,0.139,D0337
106.6,44.9,0.443,D0338
72.1,47.9,0.456,D0339
82.4,50.3,0.45,D0340
109.8,53.7,0.374,D0341
131.2,30.4,0.481,D0342
124.7,36.0,0.46,D0343
88.4,40.6,0.466,D0344
120.6,37.4,0.446,D0345
48.5,77.0,0.208,D0346
69.0,66.6,0.388,D0347
78.8,68.9,0.236,D0348
76.1,54.6,0.338,D0349
85.0,31.3,0.518,D0350
99.8,67.7,0.215,D0351
70.2,63.3,0.397,D0352
85.8,63.6,0.27,D0353
95.6,69.3,0.262,D0354
87.2,22.0,0.661,D0355
119.5,20.1,0.653,D0356
135.7,21.7,0.565,D0357
46.6,46.2,0.43,D0358
130.6,24.0,0.56,D0359
136.1,21.1,0.594,D0360
102.8,20.0,0.607,D0361
93.0,56.9,0.395,D0362
96.1,56.9,0.28,D0363
97.6,55.0,0.331,D0364
95.3,34.3,0.616,D0365
86.3,29.8,0.636,D0366
93.2,71.1,0.302,D0367
85.5,48.5,0.447,D0368
79.4,76.7,0.178,D0369
127.0,21.0,0.581,D0370
127.1,35.1,0.539,D0371
109.6,59.3,0.353,D0372
84.6,78.7,0.298,D0373
77.0,28.4,0.545,D0374
47.5,65.8,0.373,D0375
74.6,24.4,0.582,D0376
92.1,66.2,0.296,D0377
83.2,75.1,0.313,D0378
45.8,62.8,0.384,D0379
118.5,45.1,0.393,D0380
94.0,42.2,0.462,D0381
103.5,59.1,0.393,D0382
115.1,28.5,0.498,D0383
68.9,71.0,0.297,D0384
104.1,57.3,0.427,D0385
111.3,62.8,0.401,D0386
109.0,64.4,0.38,D0387
66.6,22.2,0.718,D0388
76.5,38.3,0.44,D0389
118.5,21.8,0.696,D0390
64.9,64.6,0.398,D0391
106.1,45.5,0.484,D0392
104.0,62.7,0.28,D0393
13.5,72.8,0.279,D0394
43.2,53.1,0.42,D0395
58.7,73.2,0.199,D0396
65.6,38.6,0.478,D0397
107.7,59.4,0.279,D0398
98.6,26.2,0.645,D0399
128.7,25.6,0.608,D0400
78.1,37.1,0.571,D0401
127.7,36.7,0.533,D0402
93.2,23.7,0.643,D0403
51.9,61.3,0.39,D0404
53.9,55.8,0.323,D0405
115.9,37.2,0.559,D0406
97.5,54.5,0.335,D0407
117.1,41.3,0.544,D0408
91.0,46.9,0.491,D0409
67.8,65.8,0.295,D0410
98.2,61.9,0.425,D0411
90.0,40.9,0.592,D0412
95.1,45.1,0.502,D0413
51.7,77.5,0.27,D0414
108.9,37.5,0.581,D0415
104.2,67.5,0.376,D0416
40.7,64.5,0.39,D0417
105.8,24.8,0.623,D0418
87.9,22.0,0.722,D0419
105.9,58.1,0.414,D0420
103.4,47.8,0.366,D0421
73.5,50.4,0.438,D0422
89.8,27.6,0.561,D0423
45.9,75.8,0.176,D0424
81.1,52.5,0.357,D0425
88.2,53.2,0.311,D0426
115.8,52.3,0.337,D0427
132.4,30.1,0.62,D0428
99.2,35.5,0.51,D0429
94.5,42.3,0.432,D0430
87.1,46.1,0.492,D0431
82.6,22.7,0.697,D0432
41.1,57.9,0.376,D0433
131.1,31.4,0.642,D0434
69.2,30.3,0.604,D0435
57.2,55.2,0.421,D0436
43.8,67.4,0.279,D0437
137.9,20.7,0.56,D0438
108.5,35.4,0.515,D0439
121.6,40.6,0.406,D0440
55.6,53.3,0.455,D0441
108.2,48.3,0.386,D0442
66.9,33.4,0.49,D0443
118.9,44.5,0.39,D0444
101.6,47.4,0.35,D0445
101.1,76.8,0.177,D0446
113.1,47.3,0.48,D0447
91.6,63.9,0.309,D0448
46.1,68.3,0.276,D0449
76.1,65.6,0.345,D0450
123.9,43.3,0.502,D0451
64.4,26.8,0.55,D0452
75.1,46.8,0.395,D0453
119.6,45.7,0.434,D0454
103.1,67.7,0.346,D0455
106.1,64.2,0.28,D0456
137.0,21.6,0.717,D0457
91.3,40.3,0.493,D0458
68.8,71.6,0.324,D0459
117.1,34.0,0.533,D0460
37.7,64.6,0.224,D0461
96.9,29.1,0.652,D0462
124.3,37.4,0.594,D0463
53.7,62.7,0.28,D0464
82.3,56.7,0.345,D0465
61.0,55.3,0.444,D0466
126.9,39.3,0.457,D0467
59.5,32.3,0.463,D0468
60.9,63.6,0.246,D0469
108.6,37.7,0.463,D0470
92.1,46.2,0.443,D0471
51.7,53.9,0.476,D0472
46.4,24.9,0.63,D0473
86.4,35.1,0.634,D0474
58.7,75.3,0.259,D0475
46.8,36.0,0.445,D0476
77.0,74.5,0.152,D0477
55.6,21.8,0.591,D0478
42.0,78.1,0.269,D0479
113.7,54.8,0.453,D0480
112.5,37.5,0.549,D0481
75.2,47.9,0.505,D0482
80.0,30.5,0.642,D0483
101.1,30.4,0.536,D0484
57.1,73.8,0.241,D0485
117.1,48.2,0.526,D0486
113.0,54.1,0.452,D0487
89.0,26.9,0.619,D0488
44.8,48.0,0.464,D0489
91.7,73.8,0.187,D0490
113.2,49.8,0.451,D0491
74.1,70.9,0.228,D0492
15.8,69.8,0.309,D0493
119.7,27.5,0.535,D0494
89.2,64.8,0.346,D0495
91.0,59.3,0.285,D0496
94.0,39.8,0.549,D0497
83.1,63.2,0.365,D0498
100.9,71.4,0.175,D0499
106.8,42.4,0.402,D0500
75.4,70.6,0.33,D0501
64.4,32.1,0.598,D0502
135.3,24.6,0.533,D0503
98.8,57.0,0.435,D0504
64.8,49.7,0.487,D0505
85.9,44.0,0.377,D0506
111.5,46.8,0.425,D0507
86.8,71.2,0.339,D0508
74.2,56.5,0.354,D0509
99.8,67.6,0.325,D0510
110.4,50.6,0.435,D0511
52.0,62.5,0.289,D0512
114.9,20.1,0.629,D0513
93.2,57.8,0.379,D0514
64.0,59.3,0.387,D0515
101.7,42.6,0.411,D0516
112.5,23.1,0.71,D0517
88.1,37.0,0.513,D0518
36.9,73.1,0.348,D0519
107.8,54.4,0.48,D0520
78.9,47.9,0.375,D0521
68.1,75.7,0.265,D0522
92.4,52.2,0.436,D0523
100.0,47.2,0.448,D0524
54.1,46.6,0.485,D0525
76.2,36.6,0.586,D0526
69.0,31.7,0.626,D0527
62.8,38.0,0.597,D0528
71.6,69.0,0.335,D0529
45.3,33.2,0.633,D0530
80.5,44.2,0.555,D0531
34.3,78.3,0.242,D0532
119.2,20.1,0.675,D0533
114.9,43.6,0.388,D0534
73.2,24.7,0.598,D0535
128.0,23.5,0.605,D0536
87.4,43.9,0.476,D0537
105.0,32.2,0.617,D0538
97.8,41.1,0.585,D0539
117.5,29.8,0.67,D0540
102.4,40.4,0.444,D0541
56.3,34.6,0.498,D0542
59.1,79.3,0.224,D0543
69.0,42.2,0.47,D0544
50.1,48.1,0.441,D0545
118.0,46.0,0.493,D0546
115.4,30.5,0.585,D0547
100.5,29.8,0.481,D0548
136.2,25.4,0.687,D0549
97.3,24.9,0.706,D0550
105.1,44.3,0.535,D0551
107.5,44.9,0.507,D0552
119.0,30.3,0.616,D0553
108.2,61.3,0.4,D0554
107.6,67.8,0.285,D0555
84.3,66.0,0.331,D0556
64.2,23.6,0.578,D0557
121.6,33.3,0.514,D0558
125.6,27.7,0.548,D0559
88.7,22.8,0.678,D0560
80.3,44.5,0.433,D0561
31.9,70.7,0.197,D0562
64.6,63.2,0.296,D0563
98.0,39.8,0.514,D0564
78.1,47.4,0.346,D0565
32.1,50.4,0.485,D0566
107.8,68.2,0.293,D0567
93.4,60.3,0.394,D0568
125.8,40.6,0.485,D0569
119.6,33.0,0.472,D0570
134.2,21.0,0.721,D0571
129.0,29.9,0.627,D0572
82.9,36.3,0.624,D0573
103.6,65.9,0.293,D0574
116.5,54.2,0.49,D0575
123.1,22.8,0.689,D0576
96.3,72.9,0.278,D0577
24.7,72.0,0.244,D0578
76.0,32.5,0.497,D0579
127.4,24.4,0.701,D0580
24.1,63.4,0.271,D0581
104.7,30.6,0.65,D0582
60.8,48.0,0.462,D0583
98.7,33.0,0.51,D0584
131.7,27.5,0.497,D0585
99.9,73.2,0.288,D0586
70.6,77.1,0.204,D0587
34.0,46.1,0.46,D0588
78.5,73.3,0.164,D0589
111.5,51.3,0.462,D0590
92.5,37.8,0.484,D0591
74.3,47.2,0.466,D0592
124.2,30.5,0.561,D0593
80.2,69.1,0.324,D0594
92.0,60.5,0.336,D0595
96.3,70.2,0.287,D0596
57.2,45.6,0.411,D0597
71.9,37.8,0.58,D0598
81.8,45.8,0.433,D0599
60.1,54.3,0.376,D0600
112.0,57.1,0.467,D0601
113.0,49.4,0.333,D0602
81.4,27.2,0.644,D0603
51.3,58.7,0.324,D0604
79.1,65.4,0.269,D0605
69.9,37.3,0.609,D0606
102.9,37.2,0.45,D0607
52.8,40.0,0.523,D0608
75.1,68.7,0.384,D0609
101.7,40.7,0.554,D0610
39.4,65.6,0.384,D0611
124.1,25.9,0.622,D0612
113.1,44.7,0.534,D0613
59.6,51.7,0.424,D0614
112.3,44.7,0.416,D0615
119.8,26.9,0.572,D0616
76.9,67.3,0.28,D0617
87.8,60.7,0.38,D0618
119.6,47.8,0.456,D0619
46.3,31.5,0.514,D0620
65.2,51.1,0.357,D0621
82.5,69.6,0.193,D0622
69.4,49.8,0.336,D0623
54.9,54.5,0.371,D0624
112.2,54.2,0.445,D0625
83.7,42.6,0.551,D0626
81.9,74.9,0.189,D0627
46.8,60.6,0.271,D0628
51.9,43.4,0.512,D0629
69.9,65.2,0.302,D0630
72.0,52.1,0.43,D0631
55.1,55.5,0.317,D0632
117.1,51.9,0.352,D0633
52.0,32.9,0.517,D0634
89.2,59.8,0.394,D0635
81.2,57.8,0.377,D0636
85.7,33.1,0.532,D0637
117.7,28.1,0.616,D0638
47.1,31.0,0.601,D0639
99.2,66.0,0.342,D0640
50.9,79.3,0.225,D0641
97.9,76.2,0.176,D0642
135.2,24.9,0.641,D0643
86.9,25.6,0.622,D0644
54.6,67.2,0.288,D0645
91.5,20.7,0.683,D0646
87.6,68.3,0.264,D0647
134.7,21.4,0.723,D0648
123.4,26.1,0.702,D0649
39.9,65.1,0.261,D0650
89.6,70.2,0.197,D0651
61.2,73.7,0.243,D0652
75.7,25.2,0.536,D0653
58.3,41.4,0.545,D0654
103.4,25.9,0.576,D0655
91.6,46.9,0.477,D0656
92.6,64.9,0.32,D0657
26.5,66.2,0.36,D0658
107.9,46.3,0.53,D0659
41.4,64.4,0.336,D0660
121.0,24.0,0.714,D0661
50.3,30.6,0.574,D0662
108.6,30.7,0.527,D0663
122.8,39.3,0.494,D0664
50.6,54.1,0.434,D0665
116.8,34.0,0.519,D0666
82.0,78.4,0.266,D0667
84.2,23.9,0.586,D0668
101.9,36.3,0.586,D0669
85.7,27.4,0.615,D0670
119.0,32.3,0.525,D0671
89.8,21.7,0.674,D0672
38.1,56.7,0.4,D0673
111.1,22.5,0.539,D0674
92.1,49.4,0.333,D0675
19.4,66.4,0.267,D0676
116.7,31.9,0.514,D0677
126.9,31.9,0.542,D0678
82.1,62.7,0.294,D0679
111.7,33.3,0.587,D0680
47.1,31.2,0.478,D0681
42.0,64.9,0.306,D0682
89.5,78.5,0.148,D0683
88.8,78.3,0.175,D0684
49.3,47.7,0.451,D0685
100.1,54.2,0.354,D0686
66.7,40.4,0.491,D0687
71.1,37.9,0.593,D0688
100.1,27.5,0.627,D0689
79.0,50.9,0.397,D0690
44.4,64.2,0.332,D0691
139.3,20.3,0.663,D0692
87.9,46.1,0.499,D0693
73.2,44.0,0.397,D0694
97.8,46.2,0.362,D0695
72.2,43.7,0.479,D0696
45.7,57.2,0.435,D0697
95.0,24.0,0.549,D0698
106.1,51.9,0.338,D0699
47.7,70.0,0.311,D0700
117.8,28.4,0.685,D0701
76.2,41.2,0.438,D0702
111.8,57.9,0.376,D0703
75.7,63.0,0.321,D0704
101.9,29.1,0.646,D0705
29.4,74.4,0.325,D0706
105.8,29.8,0.52,D0707
49.3,62.1,0.307,D0708
125.5,40.5,0.462,D0709
87.1,72.7,0.26,D0710
68.1,30.2,0.617,D0711
87.9,79.4,0.219,D0712
101.4,60.5,0.356,D0713
121.8,32.2,0.489,D0714
80.3,43.1,0.567,D0715
101.1,64.7,0.393,D0716
62.5,79.1,0.288,D0717
67.9,42.7,0.441,D0718
46.4,76.2,0.207,D0719
109.4,55.8,0.293,D0720
74.6,66.8,0.263,D0721
90.4,25.6,0.603,D0722
136.3,21.1,0.719,D0723
106.2,36.8,0.604,D0724
97.4,78.4,0.205,D0725
77.8,59.9,0.429,D0726
85.9,39.9,0.482,D0727
20.9,70.4,0.264,D0728
83.0,58.0,0.427,D0729
110.6,40.0,0.459,D0730
76.4,51.9,0.473,D0731
24.7,56.3,0.447,D0732
99.7,42.9,0.473,D0733
86.7,57.6,0.283,D0734
107.0,53.1,0.357,D0735
119.7,43.9,0.526,D0736
72.6,52.9,0.341,D0737
79.1,39.8,0.43,D0738
109.2,47.0,0.417,D0739
107.3,33.8,0.534,D0740
90.7,57.0,0.357,D0741
91.5,72.0,0.353,D0742
76.2,77.9,0.303,D0743
115.6,28.1,0.617,D0744
84.8,62.2,0.288,D0745
125.8,40.8,0.594,D0746
73.5,48.7,0.471,D0747
74.7,44.4,0.499,D0748
90.1,75.0,0.248,D0749
126.8,36.9,0.545,D0750
123.7,25.0,0.67,D0751
108.0,53.8,0.481,D0752
109.0,42.0,0.546,D0753
84.7,61.0,0.44,D0754
92.4,66.6,0.364,D0755
83.3,22.3,0.548,D0756
69.5,77.9,0.205,D0757
124.4,37.6,0.446,D0758
70.0,70.7,0.363,D0759
98.2,42.8,0.536,D0760
93.1,38.1,0.565,D0761
37.7,66.6,0.391,D0762
40.8,66.9,0.203,D0763
63.6,37.6,0.618,D0764
44.8,47.4,0.433,D0765
43.0,78.7,0.157,D0766
113.2,52.6,0.448,D0767
99.2,60.5,0.408,D0768
128.2,28.5,0.504,D0769
103.0,26.5,0.619,D0770
116.4,50.9,0.352,D0771
52.9,51.9,0.459,D0772
99.6,65.4,0.302,D0773
111.9,52.5,0.443,D0774
25.4,49.4,0.347,D0775
74.1,38.1,0.529,D0776
39.2,62.7,0.309,D0777
48.5,77.3,0.252,D0778
93.0,27.4,0.592,D0779
107.4,50.7,0.382,D0780
64.6,33.4,0.608,D0781
40.7,78.9,0.254,D0782
95.9,31.3,0.558,D0783
132.8,27.1,0.545,D0784
38.8,63.4,0.415,D0785
102.7,37.9,0.609,D0786
78.2,77.6,0.193,D0787
75.4,24.2,0.572,D0788
75.3,65.8,0.3,D0789
55.9,74.0,0.26,D0790
84.8,69.2,0.315,D0791
51.0,77.2,0.153,D0792
54.1,58.9,0.375,D0793
59.8,62.1,0.254,D0794
71.0,76.8,0.303,D0795
86.0,67.6,0.326,D0796
54.0,71.5,0.286,D0797
79.1,77.2,0.233,D0798
80.2,45.3,0.471,D0799
99.7,70.5,0.251,D0800
107.9,23.0,0.655,D0801
121.7,31.9,0.588,D0802
43.9,70.3,0.319,D0803
125.3,37.0,0.457,D0804
113.2,23.5,0.688,D0805
79.9,28.0,0.52,D0806
121.9,23.0,0.612,D0807
51.4,66.8,0.21,D0808
53.4,66.3,0.306,D0809
34.3,79.4,0.179,D0810
75.1,64.5,0.315,D0811
109.7,52.1,0.358,D0812
79.6,70.3,0.229,D0813
96.5,54.8,0.428,D0814
90.9,33.6,0.581,D0815
113.2,48.3,0.365,D0816
108.5,51.7,0.449,D0817
40.4,67.1,0.271,D0818
124.4,34.9,0.439,D0819
67.5,63.4,0.368,D0820
123.7,32.6,0.574,D0821
58.0,33.5,0.458,D0822
83.5,73.7,0.267,D0823
81.5,74.2,0.209,D0824
82.2,68.6,0.224,D0825
120.8,24.6,0.589,D0826
65.7,45.9,0.397,D0827
47.0,46.7,0.428,D0828
125.1,20.8,0.671,D0829
41.6,49.1,0.336,D0830
115.9,49.3,0.426,D0831
35.2,67.2,0.249,D0832
79.7,63.3,0.384,D0833
99.7,23.6,0.72,D0834
88.8,22.5,0.655,D0835
129.9,25.3,0.519,D0836
99.4,54.4,0.344,D0837
60.8,66.0,0.209,D0838
74.6,41.8,0.541,D0839
93.9,23.3,0.674,D0840
117.9,27.6,0.639,D0841
104.2,42.1,0.5,D0842
79.2,67.6,0.383,D0843
94.8,25.4,0.582,D0844
107.2,35.4,0.465,D0845
52.1,70.9,0.311,D0846
63.5,38.0,0.469,D0847
40.0,70.3,0.231,D0848
99.9,42.9,0.392,D0849
31.3,61.7,0.363,D0850
103.1,30.6,0.539,D0851
102.6,33.0,0.568,D0852
124.5,30.7,0.656,D0853
72.2,78.7,0.303,D0854
38.0,60.9,0.292,D0855
83.2,73.4,0.241,D0856
94.1,60.1,0.287,D0857
93.6,37.5,0.515,D0858
121.5,28.7,0.595,D0859
95.6,43.1,0.545,D0860
67.2,68.0,0.204,D0861
101.9,26.5,0.671,D0862
113.0,32.7,0.529,D0863
40.3,73.1,0.33,D0864
110.2,56.3,0.331,D0865
80.9,59.9,0.336,D0866
43.1,51.5,0.331,D0867
55.8,69.0,0.305,D0868
102.1,60.8,0.376,D0869
61.4,62.5,0.257,D0870
39.9,40.3,0.429,D0871
111.9,37.1,0.429,D0872
