site,country,enrolled,screen_fail_pct,deviations,open_queries,query_age_days,dropout_pct,days_since_visit
S0156,AU,25,36.4,1,5,18.0,10.2,47.0
S0157,US,16,26.3,1,3,12.0,10.7,78.0
S0158,BR,29,33.0,0,9,49.0,6.2,102.0
S0159,CA,24,38.7,3,5,2.0,3.4,7.0
S0160,US,17,25.6,1,4,2.0,0.0,122.0
S0161,BR,14,33.9,3,2,0.0,4.7,141.0
S0162,US,21,9.1,3,6,14.0,9.5,39.0
S0163,PL,20,21.9,0,5,30.0,4.3,34.0
S0164,AU,16,16.8,0,6,45.0,9.5,60.0
S0165,BR,24,11.8,2,7,6.0,7.1,84.0
S0166,US,15,15.8,1,7,1.0,14.4,53.0
S0167,US,20,25.7,1,6,1.0,11.5,84.0
S0168,DE,15,22.4,1,9,1.0,10.7,13.0
S0169,CA,18,29.4,2,4,1.0,19.6,16.0
S0170,US,20,10.4,3,7,3.0,13.6,29.0
S0171,IN,18,21.1,2,8,0.0,21.5,55.0
S0172,DE,19,20.3,1,9,10.0,3.9,62.0
S0173,US,14,30.8,1,5,5.0,7.9,84.0
S0174,IN,23,17.9,0,4,25.0,9.8,60.0
S0175,DE,17,22.7,2,7,22.0,15.0,61.0
S0176,DE,19,25.5,3,4,1.0,9.5,83.0
S0177,PL,14,11.1,0,7,2.0,6.2,89.0
S0178,JP,15,23.9,0,6,2.0,13.0,82.0
S0179,PL,28,15.7,0,5,2.0,8.2,29.0
S0180,JP,27,22.0,0,7,0.0,6.2,40.0
S0181,US,8,31.5,0,1,11.0,6.1,106.0
S0182,JP,22,31.0,0,5,19.0,0.0,96.0
S0183,CA,17,21.5,2,7,3.0,12.4,64.0
S0184,BR,18,23.3,0,5,2.0,3.8,59.0
S0185,AU,23,21.2,1,8,15.0,0.0,64.0
S0186,US,14,15.3,0,6,5.0,7.8,67.0
S0187,DE,15,35.1,2,5,13.0,11.6,59.0
S0188,PL,24,21.3,3,8,3.0,12.0,51.0
S0189,IN,22,18.4,1,8,12.0,15.3,59.0
S0190,BR,14,28.1,0,6,2.0,9.8,63.0
S0191,IN,18,17.0,1,8,3.0,5.2,85.0
S0192,CA,18,32.8,1,5,24.0,7.9,49.0
S0193,IN,17,6.7,0,5,23.0,9.3,50.0
S0194,BR,30,12.4,0,3,15.0,12.0,44.0
S0195,BR,26,15.0,2,6,13.0,14.5,75.0
S0196,IN,15,21.1,1,5,2.0,0.7,29.0
S0197,DE,24,17.9,0,6,8.0,1.3,81.0
S0198,IN,23,19.9,3,5,0.0,6.7,77.0
S0199,BR,23,29.1,0,6,20.0,1.4,69.0
S0200,PL,24,18.5,0,5,9.0,10.6,21.0
S0201,JP,16,32.8,0,5,3.0,8.6,76.0
S0202,US,16,25.7,1,5,0.0,14.0,32.0
S0203,BR,20,23.4,3,7,42.0,15.0,99.0
S0204,CA,14,15.1,0,9,1.0,12.7,81.0
S0205,IN,23,21.7,2,10,1.0,7.4,54.0
S0206,IN,13,23.0,3,9,2.0,11.5,82.0
S0207,DE,12,18.6,2,3,1.0,1.2,63.0
S0208,DE,17,19.7,1,3,23.0,6.8,54.0
S0209,IN,20,26.7,3,9,4.0,4.6,96.0
S0210,US,26,35.9,3,7,14.0,0.0,64.0
S0211,CA,19,19.1,2,4,2.0,8.6,50.0
S0212,CA,13,8.5,0,6,3.0,0.0,48.0
S0213,AU,16,32.1,0,7,5.0,0.9,122.0
S0214,US,17,11.4,5,6,3.0,12.9,107.0
S0215,US,12,29.3,2,5,26.0,3.2,49.0
S0216,CA,14,26.4,5,2,10.0,4.5,61.0
S0217,DE,12,22.2,1,3,1.0,11.1,104.0
S0218,US,21,20.9,2,5,1.0,1.5,104.0
S0219,DE,9,8.4,2,5,12.0,16.4,60.0
S0220,IN,23,34.6,1,5,5.0,11.7,58.0
S0221,US,16,17.9,1,12,10.0,0.0,67.0
S0222,JP,12,31.6,4,3,1.0,10.1,46.0
S0223,IN,14,18.2,1,5,22.0,3.5,69.0
S0224,IN,20,21.4,1,10,0.0,11.8,124.0
S0225,US,17,8.7,2,8,14.0,12.2,91.0
S0226,PL,17,22.5,1,8,9.0,18.6,48.0
S0227,JP,17,3.8,0,4,4.0,2.6,96.0
S0228,JP,16,16.3,2,5,6.0,15.2,82.0
S0229,BR,13,39.1,0,6,0.0,5.6,113.0
S0230,US,19,22.6,0,5,1.0,8.6,117.0
S0231,CA,17,13.4,0,8,0.0,12.6,95.0
S0232,US,17,26.2,1,5,1.0,12.7,47.0
S0233,BR,15,18.3,0,5,44.0,1.1,43.0
S0234,US,12,22.0,0,7,3.0,10.2,85.0
S0235,BR,17,13.3,5,4,1.0,14.4,85.0
S0236,CA,16,24.7,3,4,3.0,4.4,49.0
S0237,CA,19,16.5,0,5,3.0,7.2,59.0
S0238,US,13,27.2,2,12,10.0,16.3,85.0
S0239,IN,19,22.9,1,4,10.0,5.1,83.0
S0240,CA,19,14.9,1,5,18.0,13.7,71.0
S0241,US,15,15.6,2,6,4.0,0.0,36.0
S0242,DE,24,22.6,2,8,13.0,11.3,148.0
S0243,IN,27,11.1,2,5,17.0,5.5,50.0
S0244,IN,18,23.2,1,5,28.0,10.8,87.0
S0245,JP,20,30.4,2,5,4.0,14.6,51.0
S0246,IN,21,33.4,1,8,3.0,13.4,100.0
S0247,IN,17,7.7,4,3,3.0,6.3,93.0
S0248,DE,10,24.2,3,8,9.0,7.7,78.0
S0249,IN,19,32.7,2,10,3.0,0.0,15.0
S0250,BR,23,38.6,1,9,9.0,11.3,70.0
S0251,IN,20,11.9,1,4,33.0,3.8,5.0
S0252,JP,21,15.6,1,6,1.0,6.4,53.0
S0253,DE,19,24.3,1,4,0.0,8.6,107.0
S0254,JP,29,38.0,4,10,13.0,14.2,63.0
S0255,AU,14,22.6,1,12,7.0,2.4,67.0
S0256,US,16,22.6,1,3,4.0,5.3,77.0
S0257,US,21,24.5,1,7,1.0,2.7,27.0
S0258,US,24,39.9,1,10,7.0,14.4,102.0
S0259,CA,17,0.0,1,10,6.0,8.0,61.0
S0260,AU,23,26.7,2,5,1.0,3.6,66.0
S0261,US,26,12.5,1,4,2.0,9.7,33.0
S0262,US,20,21.5,2,6,5.0,12.7,41.0
S0263,US,17,29.1,4,8,11.0,9.6,63.0
S0264,BR,18,32.2,1,13,2.0,6.5,33.0
S0265,JP,28,17.5,6,6,6.0,5.8,73.0
S0266,CA,18,13.5,0,5,18.0,9.8,75.0
S0267,US,18,26.6,5,8,0.0,14.9,73.0
S0268,CA,12,18.9,1,3,1.0,9.2,71.0
S0269,JP,9,18.7,1,6,4.0,4.5,99.0
S0270,PL,13,27.7,1,4,5.0,11.9,30.0
S0271,PL,24,27.3,1,7,4.0,19.2,69.0
S0272,CA,17,39.8,3,3,4.0,11.7,59.0
S0273,JP,8,21.8,3,6,6.0,10.6,108.0
S0274,BR,15,16.5,2,6,3.0,18.7,74.0
S0275,BR,18,18.5,2,3,12.0,16.0,44.0
S0276,US,24,27.8,2,3,1.0,16.6,50.0
S0277,JP,15,37.6,1,5,2.0,3.0,105.0
S0278,AU,13,18.3,1,6,3.0,10.0,75.0
S0279,CA,21,10.2,5,6,7.0,12.2,60.0
S0280,US,18,26.6,0,9,11.0,6.8,96.0
S0281,IN,23,21.0,0,35,6.0,3.1,249.0
S0282,DE,13,22.4,0,30,6.0,8.9,213.0
S0283,US,18,19.3,2,4,1.0,13.4,5.0
S0284,US,21,33.0,0,8,4.0,7.3,99.0
S0285,PL,18,28.0,2,5,0.0,7.6,91.0
S0286,AU,18,30.5,0,6,2.0,3.0,49.0
S0287,BR,11,10.5,0,6,6.0,4.5,54.0
S0288,DE,14,29.9,3,8,19.0,11.5,53.0
S0289,JP,14,41.6,2,6,1.0,8.0,89.0
S0290,CA,12,24.6,3,9,7.0,4.3,138.0
S0291,PL,17,21.8,1,8,27.0,2.4,89.0
S0292,US,21,20.0,2,8,1.0,16.0,31.0
S0293,US,21,21.8,2,3,1.0,5.0,82.0
S0294,CA,22,18.7,3,5,24.0,16.5,125.0
S0295,JP,25,21.9,2,7,2.0,16.7,67.0
S0296,IN,22,25.9,3,6,4.0,4.9,13.0
S0297,PL,21,10.0,3,5,7.0,14.6,114.0
S0298,IN,19,23.4,1,1,34.0,0.8,83.0
S0299,IN,17,22.6,3,4,16.0,5.9,61.0
S0300,BR,15,25.6,2,6,5.0,10.2,93.0
S0301,US,13,22.1,1,2,9.0,4.4,26.0
S0302,US,12,17.2,4,12,12.0,7.4,76.0
S0303,AU,13,30.0,1,5,23.0,5.6,77.0
S0304,US,15,19.5,0,8,12.0,11.9,76.0
S0305,IN,15,10.0,1,3,10.0,14.3,95.0
S0306,CA,15,14.1,1,5,8.0,4.4,23.0
S0307,US,23,24.1,4,7,19.0,13.4,75.0
S0308,US,15,11.4,3,2,34.0,9.2,96.0
S0309,DE,18,34.2,1,10,1.0,16.4,43.0
S0310,DE,12,30.3,3,3,3.0,4.8,29.0
S0311,JP,22,14.9,1,7,1.0,12.6,78.0
S0312,JP,22,14.1,1,6,16.0,1.8,69.0
S0313,AU,16,23.2,3,6,6.0,9.0,20.0
S0314,US,21,24.8,1,2,8.0,9.6,102.0
S0315,AU,19,31.2,4,8,13.0,9.1,95.0
S0316,US,22,33.0,1,8,1.0,9.3,80.0
S0317,AU,18,34.3,2,5,31.0,23.4,122.0
S0318,DE,13,15.6,1,4,0.0,5.2,47.0
S0319,IN,20,16.8,2,5,19.0,5.7,16.0
S0320,US,19,19.6,1,3,2.0,4.1,86.0
S0321,JP,16,21.0,0,6,7.0,3.3,82.0
S0322,IN,14,8.2,3,6,2.0,9.5,44.0
S0323,IN,12,11.2,4,25,18.0,11.9,228.0
S0324,PL,16,23.7,0,4,2.0,14.4,32.0
S0325,US,14,23.6,2,4,3.0,5.5,76.0
S0326,DE,14,25.2,2,7,0.0,16.0,55.0
S0327,BR,18,36.6,3,4,13.0,15.7,5.0
S0328,US,14,30.8,1,5,13.0,13.5,83.0
S0329,CA,12,17.6,2,6,2.0,16.4,82.0
S0330,DE,18,21.0,1,7,10.0,6.2,101.0
S0331,US,11,20.1,0,7,20.0,10.7,38.0
S0332,US,13,26.6,1,8,32.0,17.3,117.0
S0333,IN,13,15.2,3,8,4.0,10.3,77.0
S0334,US,27,22.9,2,3,18.0,14.3,82.0
S0335,US,10,3.8,0,6,21.0,10.7,108.0
S0336,DE,20,27.3,1,14,15.0,8.8,98.0
S0337,US,26,31.3,1,5,1.0,2.2,25.0
S0338,IN,18,17.4,1,11,0.0,7.2,55.0
S0339,BR,20,30.9,0,4,2.0,7.2,62.0
S0340,CA,17,20.8,1,5,3.0,8.4,30.0
S0341,IN,24,14.0,0,9,7.0,10.4,54.0
S0342,US,20,15.3,12,35,6.0,15.2,195.0
S0343,DE,13,16.5,2,5,25.0,3.4,62.0
S0344,US,15,24.4,2,5,18.0,6.9,29.0
S0345,US,10,17.6,3,8,8.0,4.3,96.0
S0346,BR,19,28.1,1,10,30.0,9.0,84.0
S0347,IN,21,26.5,1,8,1.0,17.3,75.0
S0348,US,23,17.2,2,9,8.0,9.6,29.0
S0349,DE,20,20.2,0,12,5.0,4.5,90.0
S0350,PL,17,13.3,1,7,21.0,3.5,76.0
S0351,AU,23,19.2,2,1,1.0,7.9,24.0
S0352,US,23,20.5,4,5,1.0,0.0,41.0
S0353,US,29,31.6,1,2,47.0,0.0,51.0
S0354,PL,15,9.5,2,5,18.0,2.4,40.0
S0355,JP,21,23.0,2,3,2.0,7.8,31.0
S0356,JP,19,28.3,2,9,15.0,2.5,67.0
S0357,IN,19,26.4,2,7,7.0,3.8,104.0
S0358,PL,16,23.3,1,6,6.0,8.5,38.0
S0359,US,22,24.3,3,7,15.0,11.8,36.0
S0360,AU,20,9.8,2,2,3.0,14.2,76.0
S0361,AU,20,22.2,3,5,1.0,7.6,24.0
S0362,DE,20,30.2,0,7,7.0,17.9,100.0
S0363,JP,24,26.9,1,4,11.0,0.1,61.0
S0364,US,23,33.4,0,7,6.0,5.6,66.0
S0365,BR,17,33.6,1,2,2.0,3.2,37.0
S0366,US,20,14.8,1,5,18.0,10.1,52.0
S0367,BR,14,23.2,1,6,1.0,0.0,93.0
S0368,CA,21,13.0,3,11,1.0,2.7,44.0
S0369,JP,23,27.0,1,5,13.0,4.6,70.0
S0370,CA,17,11.5,0,4,20.0,1.4,117.0
S0371,US,13,22.2,1,2,2.0,11.7,92.0
S0372,CA,16,21.6,0,9,12.0,10.5,5.0
S0373,US,16,29.1,5,7,9.0,8.2,67.0
S0374,US,18,13.6,1,6,3.0,6.2,89.0
S0375,IN,23,16.3,0,9,3.0,3.5,77.0
S0376,DE,20,16.5,3,4,23.0,4.7,82.0
S0377,US,24,13.0,1,7,4.0,12.9,135.0
S0378,US,16,3.2,1,7,9.0,7.1,38.0
S0379,PL,15,7.0,0,2,28.0,4.4,74.0
S0380,US,16,27.2,0,5,4.0,9.0,49.0
S0381,US,24,18.4,2,4,2.0,10.4,107.0
S0382,AU,16,24.1,1,8,24.0,6.2,53.0
S0383,PL,15,14.5,0,5,5.0,12.7,65.0
S0384,DE,27,15.7,1,4,4.0,7.9,90.0
S0385,US,29,17.3,1,14,48.0,14.1,67.0
S0386,CA,8,29.8,0,8,81.0,4.2,90.0
S0387,PL,14,32.8,1,8,21.0,11.7,70.0
S0388,IN,18,13.3,0,7,20.0,0.6,50.0
S0389,BR,22,35.5,1,6,17.0,16.8,31.0
S0390,BR,15,23.8,3,7,18.0,8.6,104.0
S0391,AU,21,32.4,1,5,11.0,12.2,89.0
S0392,BR,19,20.9,1,2,7.0,12.7,76.0
S0393,US,30,13.1,0,5,0.0,12.7,63.0
S0394,US,14,12.4,0,9,11.0,16.6,65.0
S0395,BR,16,11.3,1,6,24.0,9.0,53.0
S0396,IN,19,36.4,2,11,5.0,3.6,75.0
S0397,IN,21,7.3,2,3,8.0,9.2,57.0
S0398,PL,14,26.4,2,5,2.0,5.7,66.0
S0399,US,16,15.7,0,5,2.0,12.4,56.0
S0400,DE,21,31.5,2,6,4.0,12.5,125.0
S0401,US,14,28.5,1,7,2.0,8.7,85.0
S0402,DE,12,28.4,2,10,9.0,11.3,104.0
S0403,US,26,22.6,2,6,0.0,8.1,64.0
S0404,CA,10,25.7,0,2,12.0,4.4,108.0
S0405,US,21,31.7,2,5,16.0,6.3,129.0
S0406,US,24,15.1,1,7,5.0,6.2,126.0
S0407,IN,23,17.2,0,8,1.0,4.2,51.0
S0408,DE,26,15.3,1,5,22.0,12.5,144.0
S0409,DE,17,0.0,0,8,3.0,9.6,23.0
S0410,AU,17,22.5,0,7,10.0,0.0,79.0
S0411,CA,25,19.4,1,7,26.0,11.7,114.0
S0412,US,21,40.3,1,3,41.0,2.7,63.0
S0413,US,20,19.1,2,7,25.0,24.4,80.0
S0414,JP,21,19.8,1,4,2.0,14.9,64.0
S0415,BR,17,7.1,4,5,4.0,5.2,75.0
S0416,DE,15,26.2,0,4,1.0,7.0,83.0
S0417,BR,19,24.1,0,8,16.0,2.4,20.0
S0418,IN,18,28.5,0,9,8.0,17.2,75.0
S0419,PL,13,15.2,1,9,0.0,3.7,74.0
S0420,US,16,14.8,1,9,5.0,7.3,100.0
S0421,IN,19,23.2,3,2,0.0,11.7,51.0
S0422,US,23,22.2,2,3,2.0,2.1,92.0
S0423,US,18,8.6,2,8,1.0,8.1,79.0
S0424,US,21,15.4,1,7,8.0,4.4,63.0
S0425,US,19,33.7,1,5,1.0,8.1,77.0
S0426,PL,13,22.0,2,7,17.0,1.9,13.0
S0427,DE,22,15.5,0,3,1.0,12.8,110.0
S0428,JP,17,20.6,3,4,4.0,8.0,119.0
S0429,JP,17,29.7,0,2,7.0,17.0,56.0
S0430,US,20,10.0,0,7,2.0,16.2,66.0
S0431,US,22,17.9,0,9,3.0,7.0,51.0
S0432,US,16,29.7,1,1,2.0,11.2,57.0
S0433,CA,20,10.6,0,4,18.0,4.2,94.0
S0434,DE,23,31.3,0,2,1.0,14.3,72.0
S0435,JP,19,14.4,3,5,5.0,9.2,91.0
S0436,US,23,23.2,1,6,11.0,9.0,102.0
S0437,PL,21,15.3,3,5,22.0,8.6,51.0
S0438,IN,19,33.1,2,10,1.0,7.5,70.0
S0439,DE,28,9.4,2,12,10.0,13.2,91.0
S0440,JP,15,13.2,2,6,18.0,9.5,80.0
S0441,DE,22,10.3,3,8,11.0,9.3,39.0
S0442,BR,13,21.2,3,5,0.0,14.1,60.0
S0443,BR,15,13.3,2,2,50.0,9.7,55.0
S0444,BR,17,32.6,1,5,4.0,1.8,89.0
S0445,CA,18,11.2,0,8,17.0,9.3,33.0
S0446,AU,17,30.5,0,10,1.0,1.2,33.0
S0447,US,13,15.7,1,8,7.0,15.4,70.0
S0448,DE,18,27.8,3,5,10.0,3.3,80.0
S0449,US,22,15.6,0,7,22.0,7.3,79.0
S0450,DE,19,10.1,0,3,12.0,4.5,30.0
S0451,PL,16,19.8,2,9,15.0,10.3,50.0
S0452,IN,19,6.1,1,3,14.0,8.8,56.0
S0453,BR,10,16.2,2,6,1.0,5.3,34.0
S0454,US,14,30.7,1,2,4.0,11.6,80.0
S0455,PL,19,36.7,3,5,3.0,7.9,62.0
S0456,BR,22,12.8,2,3,17.0,10.4,97.0
S0457,DE,26,15.2,2,8,13.0,6.9,33.0
S0458,PL,9,17.5,2,4,28.0,11.1,74.0
S0459,US,22,9.1,1,6,4.0,6.9,48.0
S0460,US,17,31.8,3,5,1.0,12.6,98.0
S0461,PL,21,28.5,3,11,25.0,6.2,73.0
S0462,US,24,15.5,1,4,5.0,0.0,112.0
S0463,US,23,26.0,1,7,1.0,8.7,97.0
S0464,JP,17,6.6,2,8,30.0,7.6,46.0
S0465,IN,16,33.7,1,9,3.0,14.2,11.0
S0466,BR,9,24.2,3,6,43.0,3.6,96.0
S0467,US,27,32.6,5,5,18.0,0.0,81.0
S0468,US,25,30.2,3,7,19.0,4.0,65.0
S0469,IN,23,10.5,2,7,1.0,2.5,65.0
S0470,DE,19,23.2,0,5,18.0,3.7,122.0
S0471,US,15,23.5,1,5,17.0,10.7,81.0
S0472,US,16,29.8,1,6,10.0,13.3,81.0
S0473,US,20,10.2,1,2,1.0,15.2,87.0
S0474,AU,20,18.1,2,2,28.0,5.3,48.0
S0475,US,9,11.4,2,6,11.0,0.0,74.0
S0476,BR,17,28.5,4,9,20.0,12.1,74.0
S0477,CA,16,19.3,3,6,18.0,10.9,29.0
S0478,IN,22,39.4,1,4,4.0,2.7,26.0
S0479,US,20,20.8,2,10,1.0,12.9,50.0
S0480,IN,20,9.0,1,5,4.0,2.0,53.0
S0481,US,23,31.4,0,7,11.0,7.4,70.0
S0482,JP,17,21.1,1,6,3.0,16.1,45.0
S0483,US,21,20.7,3,2,13.0,2.4,60.0
